2026-05-02 09:55:01,357 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.qua.oid.run.dev.ui.OidcDevUiRecorder] (Quarkus Main Thread) OIDC Dev Console: discovering the provider metadata at http://localhost:8082/realms/banco-realm/.well-known/openid-configuration
2026-05-02 09:55:01,877 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.sma.rea.mes.rabbitmq] (Quarkus Main Thread) SRMSG17036: RabbitMQ broker configured to [localhost:5672] for channel clientePF-cadastrado-in
2026-05-02 09:55:01,884 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.sma.rea.mes.rabbitmq] (Quarkus Main Thread) SRMSG17036: RabbitMQ broker configured to [localhost:5672] for channel clientePF-cadastrado-out
2026-05-02 09:55:01,894 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.sma.rea.mes.rabbitmq] (Quarkus Main Thread) SRMSG17007: Connection with RabbitMQ broker established for channel `clientePF-cadastrado-in`
2026-05-02 09:55:01,895 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.ver.rab.imp.RabbitMQClientImpl] (Quarkus Main Thread) Starting rabbitmq client
2026-05-02 09:55:01,903 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.quarkus] (Quarkus Main Thread) sistema.bancario 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.34.1) started in 3.783s. Listening on: http://localhost:8080
2026-05-02 09:55:01,904 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.quarkus] (Quarkus Main Thread) Profile dev activated. Live Coding activated.
2026-05-02 09:55:01,905 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.quarkus] (Quarkus Main Thread) Installed features: [agroal, cache, cdi, compose, hibernate-orm, hibernate-orm-panache, hibernate-orm-rest-data-panache, hibernate-validator, jdbc-postgresql, keycloak-authorization, messaging, messaging-rabbitmq, micrometer, narayana-jta, oidc, redis-client, rest, rest-client, rest-client-jackson, rest-jackson, rest-links, security, smallrye-context-propagation, smallrye-health, smallrye-openapi, swagger-ui, vertx]
2026-05-02 09:55:01,906 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.qua.dep.dev.RuntimeUpdatesProcessor] (vert.x-worker-thread-2) Live reload total time: 5.078s 
2026-05-02 09:55:01,908 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.qua.dep.dev.RuntimeUpdatesProcessor] (vert.x-worker-thread-2) Live reload took more than 4 seconds, you may want to enable instrumentation based reload (quarkus.live-reload.instrumentation=true). This allows small changes to take effect without restarting Quarkus.
2026-05-02 09:55:01,922 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.sma.rea.mes.rabbitmq] (vert.x-eventloop-thread-6) SRMSG17007: Connection with RabbitMQ broker established for channel `clientePF-cadastrado-in`
2026-05-02 09:55:01,928 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.sma.rea.mes.rabbitmq] (vert.x-eventloop-thread-6) SRMSG17000: RabbitMQ Receiver listening address clientePF.cadastrado.email.queue
2026-05-02 09:55:23,937 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [sou.ban.log.LogInterceptor] (executor-thread-1) Usuário=admin principal=admin sub=e9d870bd-848b-480c-80ce-bbbf79a08f74 INICIOU acao=getClientePFPorCPF metodo=ClientePFResource.getClientePFPorCPF
2026-05-02 09:55:23,964 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] ERROR [sou.ban.log.LogInterceptor] (executor-thread-1) Usuário=admin principal=admin sub=e9d870bd-848b-480c-80ce-bbbf79a08f74 ERRO acao=getClientePFPorCPF metodo=ClientePFResource.getClientePFPorCPF
2026-05-02 09:56:22,527 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.ver.rab.imp.RabbitMQClientImpl] (Shutdown thread) Stopping rabbitmq client
2026-05-02 09:56:22,529 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.ver.rab.imp.RabbitMQClientImpl] (Shutdown thread) Stopping rabbitmq client
2026-05-02 09:56:22,539 computador /usr/lib/jvm/java-21-openjdk-amd64/bin/java[14980] INFO  [io.quarkus] (Shutdown thread) sistema.bancario stopped in 0.029s
